copy_id,book_id,branch_id,condition,available
1,249,3,New,1
2,38,3,New,1
3,10,2,Good,0
4,451,2,Good,0
5,419,3,New,1
6,361,1,New,0
7,83,3,New,1
8,425,3,Good,0
9,196,3,New,0
10,169,1,New,0
11,46,3,New,0
12,183,3,New,0
13,237,3,Good,0
14,193,2,New,0
15,373,3,New,0
16,155,3,New,0
17,174,2,New,0
18,93,1,New,1
19,345,2,New,0
20,337,3,New,1
21,149,3,New,1
22,343,3,New,1
23,110,3,Poor,0
24,441,2,Fair,1
25,269,3,Poor,1
26,268,2,New,0
27,8,3,Fair,0
28,360,1,Good,0
29,368,2,Good,0
30,288,1,New,1
31,300,1,Good,0
32,465,3,Good,0
33,198,2,Good,1
34,389,1,New,1
35,5,2,Poor,1
36,299,1,Good,1
37,77,3,Fair,0
38,26,3,New,1
39,326,2,New,0
40,496,3,Good,1
41,109,1,New,1
42,1,2,New,0
43,362,3,Good,0
44,488,1,New,1
45,476,3,New,1
46,9,2,New,1
47,438,1,New,1
48,170,1,New,0
49,22,1,Good,1
50,109,3,Good,1
51,444,2,Good,0
52,400,2,Good,0
53,389,2,New,0
54,311,1,Fair,0
55,42,2,New,1
56,343,2,Fair,0
57,196,3,Good,0
58,427,3,Good,1
59,425,2,Good,0
60,302,1,New,1
61,406,2,Poor,1
62,448,1,New,0
63,79,2,New,0
64,259,1,New,1
65,152,1,New,0
66,322,1,New,1
67,403,1,Fair,0
68,258,2,Good,0
69,173,3,New,0
70,261,1,New,1
71,190,3,New,0
72,32,1,New,1
73,466,2,Fair,1
74,311,1,New,0
75,421,1,Poor,0
76,260,3,Fair,1
77,403,1,Fair,0
78,345,1,New,1
79,321,3,Fair,1
80,293,1,Fair,1
81,88,1,Fair,1
82,256,3,New,0
83,428,1,New,1
84,318,3,Good,1
85,337,1,Fair,0
86,132,1,Good,0
87,298,2,New,1
88,304,1,Good,1
89,144,3,New,1
90,203,3,New,1
91,302,2,Poor,0
92,483,2,New,0
93,466,1,New,1
94,147,3,New,0
95,241,1,Poor,1
96,190,2,Good,0
97,171,2,Good,1
98,94,3,Good,1
99,468,3,Fair,0
100,41,1,New,1
101,48,2,New,0
102,134,1,Good,1
103,199,1,New,0
104,151,1,Good,1
105,202,2,Good,1
106,460,3,Good,1
107,134,1,Good,0
108,355,1,Good,1
109,182,2,Poor,1
110,140,1,New,0
111,5,3,Fair,0
112,392,2,Fair,0
113,490,1,Good,1
114,381,2,Good,1
115,180,1,New,1
116,501,2,Poor,1
117,221,1,New,0
118,356,1,New,0
119,414,3,New,0
120,56,2,New,1
121,411,1,New,0
122,139,1,New,1
123,160,1,New,1
124,438,1,New,0
125,362,3,Good,1
126,443,2,Fair,1
127,446,1,New,1
128,409,1,Good,0
129,411,1,New,1
130,315,1,Good,1
131,143,3,New,1
132,453,1,New,0
133,22,2,Good,0
134,9,2,Poor,0
135,41,1,New,0
136,251,2,New,0
137,467,1,Fair,1
138,237,2,New,1
139,419,1,New,0
140,359,1,Fair,1
141,260,2,New,0
142,299,2,Fair,1
143,346,3,New,0
144,326,3,Good,0
145,190,1,New,0
146,329,3,Good,1
147,447,2,New,0
148,270,3,New,0
149,218,1,Poor,1
150,357,2,New,0
151,448,3,New,0
152,342,3,New,0
153,320,1,New,1
154,486,3,Fair,0
155,461,2,New,0
156,468,1,New,1
157,226,1,New,0
158,435,3,New,0
159,132,3,New,1
160,163,2,Good,0
161,390,1,Good,0
162,434,3,New,0
163,480,2,New,1
164,410,2,Good,0
165,18,1,Poor,1
166,155,2,New,1
167,333,3,Good,1
168,313,1,Good,1
169,451,3,Good,1
170,462,2,Good,0
171,358,2,Poor,0
172,150,3,Good,0
173,63,2,New,0
174,246,1,Good,0
175,270,2,Fair,0
176,491,3,New,1
177,483,2,New,0
178,331,3,New,1
179,353,2,New,1
180,254,3,New,1
181,280,2,New,1
182,439,2,Good,1
183,468,2,Fair,0
184,420,3,Poor,0
185,88,3,Good,1
186,145,1,Good,0
187,341,2,Good,0
188,497,1,Good,0
189,100,1,New,0
190,68,1,Good,1
191,307,3,New,0
192,428,3,Good,1
193,318,1,Good,1
194,314,1,Fair,1
195,412,1,New,1
196,477,1,New,0
197,500,2,New,0
198,214,1,New,1
199,459,1,New,0
200,34,2,Fair,1
201,133,1,New,1
202,61,3,Good,1
203,171,2,New,1
204,179,2,New,0
205,402,3,Fair,1
206,172,3,New,0
207,317,3,Fair,1
208,352,1,New,1
209,79,1,Good,0
210,199,2,Fair,1
211,330,3,New,0
212,346,2,New,0
213,133,3,Good,1
214,12,3,Good,1
215,5,1,New,0
216,321,2,Fair,1
217,10,3,Fair,1
218,15,1,New,1
219,250,2,New,0
220,287,3,Good,1
221,226,2,Fair,1
222,145,3,Fair,1
223,463,3,New,0
224,32,1,Good,0
225,14,2,New,1
226,278,3,Good,1
227,202,2,New,1
228,228,1,Poor,0
229,75,2,New,1
230,423,3,Fair,0
231,357,1,Fair,1
232,200,1,Fair,0
233,68,1,Poor,1
234,470,2,Fair,0
235,34,1,Poor,1
236,264,1,Good,0
237,15,1,Fair,1
238,127,2,Good,0
239,239,1,Good,1
240,445,2,Poor,0
241,204,1,New,0
242,411,2,Good,0
243,125,1,Good,0
244,405,1,New,1
245,498,3,Fair,0
246,217,2,Fair,0
247,65,1,Good,1
248,61,3,Poor,0
249,264,2,New,1
250,43,2,Fair,1
251,247,2,New,1
252,17,1,New,0
253,171,2,Fair,0
254,236,3,New,1
255,274,2,New,1
256,235,2,New,1
257,242,2,New,0
258,448,1,New,1
259,255,2,New,1
260,466,3,Good,1
261,362,2,Poor,1
262,195,3,Good,1
263,331,2,New,1
264,316,1,Good,1
265,389,3,Poor,1
266,395,2,New,1
267,363,2,Good,0
268,466,3,Good,0
269,90,3,New,1
270,142,2,New,0
271,380,3,Fair,0
272,301,2,New,1
273,187,1,Good,1
274,386,1,New,0
275,246,1,New,1
276,179,3,New,0
277,342,2,New,1
278,65,3,New,1
279,446,2,New,0
280,198,3,New,1
281,97,2,Good,1
282,319,1,New,0
283,172,1,Good,1
284,170,2,Good,1
285,114,3,New,1
286,192,1,New,1
287,278,3,Fair,0
288,146,2,New,1
289,84,2,New,1
290,309,1,New,0
291,238,2,New,0
292,425,3,New,0
293,482,2,New,0
294,337,2,Good,0
295,142,1,New,1
296,194,2,New,1
297,498,1,Fair,1
298,393,1,New,1
299,320,2,Good,1
300,129,3,Poor,1
301,158,1,Good,1
302,85,1,New,1
303,440,2,Fair,0
304,274,3,New,1
305,320,2,Fair,0
306,292,1,Good,0
307,270,2,Good,1
308,260,1,New,1
309,465,1,New,1
310,79,3,Fair,1
311,450,1,New,0
312,340,3,Good,1
313,49,3,New,0
314,499,1,New,0
315,30,3,New,1
316,146,2,New,0
317,136,1,Poor,1
318,467,2,Good,0
319,503,3,Good,0
320,347,1,Fair,1
321,199,2,Good,0
322,166,3,New,0
323,209,2,Good,1
324,14,2,New,1
325,177,1,New,0
326,162,1,New,0
327,149,2,Good,0
328,449,3,New,0
329,271,1,New,0
330,325,1,New,0
331,245,3,Fair,0
332,120,2,Good,0
333,391,1,New,0
334,497,1,Good,1
335,11,2,New,0
336,151,3,New,1
337,76,3,New,0
338,346,1,New,0
339,184,3,Fair,1
340,157,3,Poor,1
341,122,1,Good,0
342,304,2,Good,0
343,108,3,New,0
344,170,1,New,1
345,318,2,New,1
346,337,3,New,0
347,276,3,New,0
348,302,2,Good,1
349,156,2,New,0
350,475,3,New,1
351,375,2,New,0
352,51,3,New,0
353,206,2,Fair,1
354,41,1,Good,0
355,448,1,New,0
