book_id,title,genre,publication_year,isbn,pages,author_id
1,Professional morning determine.,Arts,2004,978-1-911269-93-9,576,37
2,Follow election.,Law,2019,978-1-74880-425-9,121,87
3,Bank bit everything think loss.,Science,1999,978-0-218-38966-1,55,190
4,Watch develop.,Science,1987,978-0-8109-1427-8,404,39
5,Agree would just message together.,Science,2009,978-1-375-54328-6,431,101
6,Medical soon wrong have.,Science,2021,978-0-646-73352-4,801,96
7,Major only recent look according.,Other,1993,978-0-615-45617-1,258,183
8,Western between ready could.,Law,2009,978-0-8485-3030-3,729,153
9,Part stuff garden.,Arts,2008,978-1-5184-5788-3,857,38
10,Those within.,Medicine,1989,978-0-218-78631-6,888,140
11,Gun fear TV.,Arts,2012,978-0-390-03994-1,277,17
12,Station sing.,Other,2009,978-0-02-649719-0,157,56
13,Without research long direction.,Other,1989,978-0-424-92763-3,860,200
14,Address scene anyone.,Arts,1980,978-1-159-63550-3,921,97
15,Consider serious keep lot.,Engineering,1981,978-0-13-774286-8,698,58
16,Lot compare morning able know.,Other,2022,978-0-522-13461-2,111,19
17,Do quickly.,Arts,1991,978-0-19-534048-8,104,15
18,Skin pick.,Science,2015,978-0-7496-1441-6,538,27
19,Wear drug performance war top.,Other,2003,978-0-635-53581-8,947,74
20,Early challenge their around source.,Law,1989,978-1-07-534750-4,157,179
21,Hear them.,Science,2016,978-0-346-76958-8,580,142
22,His result memory above.,Medicine,2014,978-0-611-10576-9,920,148
23,Prevent federal.,Law,1984,978-1-874529-07-1,470,75
24,Mission thank.,Other,2018,978-1-68679-704-0,622,157
25,Mrs performance doctor.,Law,1997,978-1-60736-230-2,882,153
26,Team official matter.,Medicine,2009,978-0-216-43659-6,434,27
27,This month husband.,Engineering,2016,978-0-7192-5984-5,544,187
28,Oil bring everybody movie federal.,Arts,1988,978-1-82395-276-9,328,100
29,Produce relationship travel.,Law,1981,978-1-78010-623-6,745,112
30,Republican everything water.,Science,1993,978-0-8050-3704-3,237,92
31,Value election prepare.,Medicine,1993,978-1-59326-894-7,598,6
32,Cultural give support week around.,Law,1993,978-1-281-92886-3,957,187
33,Dog mean rule land.,Other,2014,978-1-65328-959-2,397,103
34,Camera form.,Other,2002,978-0-460-96451-7,312,31
35,Water pretty choice blood.,Science,2019,978-1-81741-357-3,427,191
36,Answer at blood four in.,Science,1986,978-1-4626-9779-3,406,74
37,Spring necessary.,Engineering,1980,978-1-938261-31-2,908,5
38,Dark bit north.,Medicine,2015,978-1-59690-074-5,907,177
39,Of less kind.,Engineering,2001,978-1-379-50804-5,148,115
40,Play president election base practice.,Medicine,1989,978-1-307-00449-6,666,45
41,Nearly big suffer.,Arts,2009,978-1-61887-327-9,252,124
42,Stop team order finish.,Medicine,1983,978-1-4853-3641-9,429,95
43,Bank three thousand already.,Science,1991,978-1-9838-3067-9,478,38
44,Face structure cost.,Engineering,2000,978-0-468-09004-1,276,14
45,Culture ever fight.,Engineering,2016,978-1-954663-73-2,930,123
46,Police data sport.,Other,2008,978-0-07-948281-5,441,8
47,Continue leader best interesting including.,Medicine,2019,978-0-86459-683-3,531,52
48,Film wide just.,Arts,2009,978-1-86641-775-1,414,49
49,Sense education term rich.,Science,2019,978-0-696-49676-9,247,51
50,Include music food tree brother.,Medicine,2022,978-0-8206-1390-1,628,79
51,Condition movement somebody short direction.,Medicine,2000,978-0-537-82650-2,899,14
52,Yourself list five idea hand.,Engineering,1998,978-0-534-92110-1,900,174
53,Player parent bag sport.,Other,1994,978-0-9766792-9-5,995,86
54,Official certain whole success.,Science,2007,978-0-7401-2110-4,402,141
55,Inside buy star type cut.,Law,2023,978-0-7830-9710-7,539,17
56,Course section suggest stop.,Law,1987,978-0-9509026-4-7,902,57
57,Through play that watch.,Arts,1997,978-1-05-868781-8,851,151
58,Learn so base hand.,Law,2008,978-1-155-38532-7,779,172
59,Goal us seat.,Medicine,2004,978-1-4065-1284-7,232,199
60,Nation show rather chance.,Law,1989,978-1-260-97742-4,756,112
61,Data growth song fund lose.,Law,2023,978-1-226-16401-1,429,90
62,Miss create experience.,Arts,2015,978-1-79383-682-3,499,8
63,Dog race.,Science,2008,978-1-968171-16-2,719,180
64,Stage old.,Engineering,1986,978-1-270-24257-4,204,164
65,Believe television size.,Law,2012,978-0-7264-4691-7,633,59
66,By green name hotel.,Science,1980,978-1-66182-814-1,743,128
67,Sound thought.,Arts,2007,978-1-133-27047-8,321,135
68,Weight condition could government reveal.,Medicine,1991,978-1-5379-1114-4,221,64
69,At recent those without.,Other,1984,978-0-8485-1046-6,325,154
70,Road start.,Science,1997,978-0-338-73300-9,600,96
71,Poor fight and.,Engineering,2005,978-0-240-09718-3,344,143
72,Gas season.,Medicine,2017,978-1-162-27163-7,312,4
