student_id,copy_id,loan_date,due_date,return_date,fine_amount
390,237,2024-06-15,2024-06-29,,0.0
705,45,2024-06-29,2024-07-13,2024-07-19,6.0
37,1281,2025-01-20,2025-02-03,2025-02-12,9.0
136,720,2025-03-10,2025-03-24,,0.0
581,737,2026-02-07,2026-02-21,2026-02-23,2.0
89,1168,2025-04-29,2025-05-13,,0.0
669,872,2024-05-27,2024-06-10,,0.0
243,62,2025-01-12,2025-01-26,2025-02-04,9.0
623,885,2025-09-28,2025-10-12,2025-09-28,0.0
662,286,2025-11-16,2025-11-30,,0.0
464,398,2024-09-13,2024-09-27,2024-09-21,0.0
929,674,2024-11-22,2024-12-06,2024-12-06,0.0
637,981,2025-04-29,2025-05-13,2025-05-22,9.0
240,798,2024-04-30,2024-05-14,2024-05-24,10.0
259,411,2025-03-26,2025-04-09,,0.0
419,651,2024-07-06,2024-07-20,2024-08-01,12.0
136,462,2024-03-12,2024-03-26,2024-04-05,10.0
912,18,2025-03-19,2025-04-02,,0.0
863,1377,2024-07-08,2024-07-22,2024-07-22,0.0
60,686,2024-12-15,2024-12-29,,0.0
816,1038,2024-11-04,2024-11-18,2024-11-18,0.0
268,1366,2024-05-05,2024-05-19,,0.0
967,1467,2025-05-12,2025-05-26,2025-05-14,0.0
970,277,2025-07-18,2025-08-01,2025-07-28,0.0
422,191,2025-05-11,2025-05-25,,0.0
978,699,2025-02-12,2025-02-26,2025-03-12,14.0
412,502,2024-08-29,2024-09-12,2024-09-09,0.0
122,298,2024-04-15,2024-04-29,2024-04-20,0.0
985,1420,2025-06-23,2025-07-07,,0.0
604,355,2025-03-18,2025-04-01,2025-03-31,0.0
994,597,2025-12-12,2025-12-26,2026-01-04,9.0
716,229,2025-12-12,2025-12-26,2025-12-26,0.0
493,566,2026-02-06,2026-02-20,2026-03-06,14.0
453,1100,2025-09-27,2025-10-11,2025-10-10,0.0
487,320,2026-02-04,2026-02-18,2026-02-26,8.0
766,557,2025-04-17,2025-05-01,2025-04-18,0.0
402,1013,2025-06-30,2025-07-14,,0.0
460,665,2025-08-30,2025-09-13,,0.0
154,701,2025-01-30,2025-02-13,2025-02-11,0.0
492,344,2025-05-01,2025-05-15,2025-05-18,3.0
54,1409,2026-02-17,2026-03-03,2026-02-22,0.0
255,1280,2024-04-02,2024-04-16,2024-04-14,0.0
188,220,2025-06-22,2025-07-06,,0.0
210,686,2024-07-17,2024-07-31,,0.0
554,1058,2024-05-23,2024-06-06,2024-06-01,0.0
377,644,2024-04-20,2024-05-04,2024-04-26,0.0
284,1176,2024-08-09,2024-08-23,,0.0
138,813,2026-01-30,2026-02-13,2026-01-31,0.0
103,1418,2025-10-23,2025-11-06,2025-10-25,0.0
895,1376,2025-07-31,2025-08-14,2025-08-01,0.0
443,938,2024-06-15,2024-06-29,,0.0
688,1343,2025-01-05,2025-01-19,2025-01-10,0.0
445,869,2024-06-15,2024-06-29,2024-06-22,0.0
341,1101,2024-08-19,2024-09-02,2024-09-16,14.0
660,283,2025-08-14,2025-08-28,2025-08-19,0.0
260,401,2024-12-31,2025-01-14,,0.0
904,1190,2025-01-19,2025-02-02,,0.0
676,1212,2024-07-05,2024-07-19,2024-07-06,0.0
612,645,2025-12-22,2026-01-05,,0.0
785,1067,2025-12-30,2026-01-13,,0.0
257,499,2025-08-14,2025-08-28,2025-09-02,5.0
982,801,2024-07-15,2024-07-29,2024-07-15,0.0
796,805,2025-09-06,2025-09-20,,0.0
610,133,2025-09-01,2025-09-15,2025-09-01,0.0
402,1197,2024-12-09,2024-12-23,2024-12-11,0.0
925,1455,2024-10-10,2024-10-24,2024-10-11,0.0
389,1468,2024-04-10,2024-04-24,2024-04-24,0.0
30,1199,2025-01-13,2025-01-27,,0.0
1000,1126,2024-10-25,2024-11-08,2024-11-06,0.0
912,816,2025-01-05,2025-01-19,,0.0
532,901,2024-07-12,2024-07-26,2024-07-25,0.0
304,1461,2024-11-27,2024-12-11,,0.0
932,937,2024-11-08,2024-11-22,2024-11-19,0.0
178,115,2024-03-09,2024-03-23,,0.0
313,1298,2024-12-05,2024-12-19,2024-12-11,0.0
242,1004,2025-03-24,2025-04-07,2025-04-09,2.0
526,1440,2025-03-19,2025-04-02,2025-03-22,0.0
1002,343,2025-04-24,2025-05-08,,0.0
236,610,2025-12-26,2026-01-09,2026-01-12,3.0
761,922,2024-10-15,2024-10-29,2024-11-01,3.0
118,385,2024-07-06,2024-07-20,2024-07-27,7.0
365,263,2025-01-10,2025-01-24,2025-01-11,0.0
100,1097,2024-06-26,2024-07-10,2024-07-17,7.0
846,141,2024-10-23,2024-11-06,2024-11-09,3.0
673,1368,2025-05-08,2025-05-22,,0.0
499,399,2025-09-01,2025-09-15,2025-09-10,0.0
417,827,2024-08-31,2024-09-14,,0.0
405,1322,2024-03-16,2024-03-30,2024-04-05,6.0
327,1369,2024-07-28,2024-08-11,2024-08-05,0.0
21,823,2024-05-15,2024-05-29,2024-05-25,0.0
525,1369,2026-03-04,2026-03-18,2026-03-22,4.0
378,123,2024-06-12,2024-06-26,2024-06-23,0.0
492,180,2025-09-28,2025-10-12,2025-10-20,8.0
331,1298,2025-03-12,2025-03-26,2025-04-08,13.0
560,1293,2025-06-19,2025-07-03,2025-07-07,4.0
798,1013,2025-06-05,2025-06-19,2025-07-01,12.0
912,381,2024-04-12,2024-04-26,,0.0
60,693,2024-04-03,2024-04-17,2024-04-25,8.0
326,525,2024-10-08,2024-10-22,2024-10-20,0.0
267,967,2025-06-02,2025-06-16,2025-06-02,0.0
371,1293,2025-10-25,2025-11-08,2025-11-22,14.0
20,203,2024-12-13,2024-12-27,2024-12-18,0.0
40,520,2024-10-13,2024-10-27,,0.0
121,1414,2024-04-23,2024-05-07,2024-05-05,0.0
704,459,2025-08-23,2025-09-06,2025-08-25,0.0
813,528,2025-01-26,2025-02-09,2025-02-06,0.0
343,1008,2025-02-11,2025-02-25,2025-03-03,6.0
270,126,2024-08-23,2024-09-06,2024-09-13,7.0
81,1229,2026-01-27,2026-02-10,2026-02-23,13.0
796,73,2026-02-10,2026-02-24,,0.0
361,1409,2024-06-20,2024-07-04,2024-07-15,11.0
205,1002,2025-01-23,2025-02-06,2025-02-17,11.0
949,1068,2025-09-01,2025-09-15,,0.0
793,353,2024-06-17,2024-07-01,2024-06-30,0.0
5,692,2024-04-09,2024-04-23,,0.0
964,1090,2025-03-12,2025-03-26,2025-03-15,0.0
287,1231,2025-09-05,2025-09-19,2025-09-24,5.0
860,1442,2024-05-31,2024-06-14,2024-06-21,7.0
866,90,2024-04-03,2024-04-17,,0.0
583,1111,2025-12-10,2025-12-24,,0.0
335,1482,2025-08-20,2025-09-03,2025-09-08,5.0
675,496,2026-01-10,2026-01-24,2026-02-04,11.0
964,383,2024-12-25,2025-01-08,,0.0
863,340,2025-10-14,2025-10-28,2025-11-01,4.0
567,1449,2025-01-27,2025-02-10,2025-02-13,3.0
883,1121,2026-01-06,2026-01-20,,0.0
742,1009,2025-11-10,2025-11-24,2025-11-23,0.0
131,1138,2025-04-13,2025-04-27,2025-04-24,0.0
540,871,2024-04-30,2024-05-14,2024-05-26,12.0
525,439,2024-04-05,2024-04-19,2024-04-24,5.0
864,107,2025-09-07,2025-09-21,2025-09-13,0.0
306,1115,2024-08-22,2024-09-05,2024-08-27,0.0
776,1202,2024-07-23,2024-08-06,2024-08-12,6.0
416,199,2026-01-29,2026-02-12,2026-02-04,0.0
186,186,2025-10-21,2025-11-04,2025-10-21,0.0
336,451,2025-05-25,2025-06-08,,0.0
578,756,2025-04-28,2025-05-12,2025-05-24,12.0
198,720,2024-12-05,2024-12-19,,0.0
404,84,2025-12-15,2025-12-29,2025-12-18,0.0
447,127,2025-01-30,2025-02-13,2025-02-25,12.0
671,306,2025-10-16,2025-10-30,2025-10-27,0.0
436,191,2024-07-03,2024-07-17,2024-07-04,0.0
300,1182,2024-06-28,2024-07-12,2024-07-11,0.0
919,1024,2024-04-13,2024-04-27,2024-04-16,0.0
252,1151,2026-01-24,2026-02-07,2026-02-21,14.0
728,955,2024-04-16,2024-04-30,2024-04-28,0.0
308,803,2025-12-22,2026-01-05,,0.0
315,320,2025-07-11,2025-07-25,2025-07-21,0.0
304,285,2025-08-01,2025-08-15,2025-08-18,3.0
554,270,2024-04-15,2024-04-29,2024-04-20,0.0
489,248,2025-08-12,2025-08-26,2025-09-04,9.0
879,59,2025-12-13,2025-12-27,,0.0
361,666,2024-08-03,2024-08-17,2024-08-21,4.0
638,756,2025-10-15,2025-10-29,2025-11-11,13.0
715,219,2026-01-22,2026-02-05,2026-02-18,13.0
528,131,2024-03-31,2024-04-14,2024-04-25,11.0
